NPS_Grupo;COMENTARIO_NPS;TACTICO;1ERA CAUSA RAIZ
Promotor;Yo estoy conforme;SERVICIO;La calidad y funcionamiento del Servicio
Pasivo;Buena promocion;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;Lo que pasa que la mayoria de mis pariente y amigos se pasaron a Claro x que aqui donde vivo la antena de personal esta muy lejos de la ciudad de Virasoro Ctes y como yo vivo en el campo su senal es muy buena ;RELACIONAMIENTO;Atencion a Clientes
Promotor;Mi  tenacidad de tener personal por 27 anos;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;La gran atencion de la representante angelica que me atendio hoy;RELACIONAMIENTO;Atencion a Clientes
Promotor;Calidad ;CONVENIENCIA;Packs
Detractor;La atencion del personal de atencion al cliente, principalmente una Natalia ;RELACIONAMIENTO;Atencion a Clientes
Pasivo;Por que cada mes le van subiendo el precio al abono y no creo que quieran contratarlo si es asi;RELACIONAMIENTO;Facturacion y Pago 
Promotor;Buena atencion;RELACIONAMIENTO;Atencion a Clientes
Detractor;No logro comunicarme con atencion al cliente ;RELACIONAMIENTO;Atencion a Clientes
Detractor;no resuelven los problemas con la senal, aumentan todos los meses el abono y demoran mucho en atender cuando quiero comunicarme con atencion al cliente ;SERVICIO;La calidad y funcionamiento del Servicio
Pasivo;Precios aceccibles;CONVENIENCIA;Beneficios
Detractor;Aunentaron de 10700 a 17 mil en 2 neses llame oara darne de baja no me atendueron el 27 pago y chau tiro el chip re corta ka gago don unos ladrones ;CONVENIENCIA;Precio
Promotor;Muy bueno ;CONVENIENCIA;Precio
Promotor;Excelente servicio ;RELACIONAMIENTO;Atencion a Clientes
Detractor;X ejemplo q te ofr;CONVENIENCIA;Precio
Pasivo;Siempre funciona!# ;RELACIONAMIENTO;Atencion a Clientes
Promotor;Por el servicio. . mi reclamo- , .elevada, la factura.;CONVENIENCIA;Precio
Detractor;Muy caro el precio ;CONVENIENCIA;Precio
Promotor;Buena senal ;RELACIONAMIENTO;Atencion a Clientes
Detractor;Ninguna ;CONVENIENCIA;Precio
Detractor;Te cambian el precio todos los meses ,si te sobran gigas en el mes te lo sacan;RELACIONAMIENTO;Facturacion y Pago 
Detractor;La linea no funciona, ya reclame mil veces;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;NO LLEGA LA FACTURA;RELACIONAMIENTO;Facturacion y Pago 
Promotor;Es una buena compania. De telefonia celular. ;CONVENIENCIA;Promociones
Pasivo;ultimamente me quedo sin red.movil seguido;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;No resuelven los reclamos;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;El precio es muy caro y siempre tengo que cargar gigas ;CONVENIENCIA;Precio
Promotor;Muy buena atencion ;RELACIONAMIENTO;Atencion a Clientes
Promotor;Buena y rapida respuesta ;RELACIONAMIENTO;Atencion a Clientes
Promotor;;RELACIONAMIENTO;Atencion a Clientes
Promotor;muy buen servicio;SERVICIO;La calidad y funcionamiento del Servicio
Pasivo;Promociones;RELACIONAMIENTO;Atencion a Clientes
Pasivo;Precios elevados y en continuo aumento a pesar de las promociones;CONVENIENCIA;Precio
Promotor;Super 😀;CONVENIENCIA;Packs
Pasivo;Otras empresas ofrecen el mismo servicio y aun con mejor servicio de internet, a valores muy menores, Soy cliente de Personal hsce 30 anos, ;CONVENIENCIA;Precio
Promotor;La verdad que es un excelente servicio, ya que realizan un descuento muy considerable y accesible;RELACIONAMIENTO;Atencion a Clientes
Detractor;desconforme con la empresa porque me estafaron;RELACIONAMIENTO;Atencion a Clientes
Detractor;costo;CONVENIENCIA;Precio
Promotor;Atienden muy bien;RELACIONAMIENTO;Atencion a Clientes
Promotor;Calidad y precio ;CONVENIENCIA;Promociones
Promotor;Bien ;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Es muy activo ;RELACIONAMIENTO;Facturacion y Pago 
Detractor;Hoy fui a reclamar por un salde de aproximadamente $4000 pesos que tenia como saldo prepago. Fui a la oficina , me atendieron pesimamente mal y nadie me supo dar ninguna explicacion. Lo mismo sucede al llamar a atencion al cliente, no atienden o desconocen el tema.;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;;CONVENIENCIA;Precio
Pasivo;Costos altos. Excelente servicio ;CONVENIENCIA;Precio
Promotor;Atienden Muy Bien;RELACIONAMIENTO;Atencion a Clientes
Promotor;Muy bueno;RELACIONAMIENTO;Atencion a Clientes
Detractor;Muy mala senal de datos y telefono ;SERVICIO;La calidad y funcionamiento del Servicio
Pasivo;Puede mejorar las promociones;RELACIONAMIENTO;Atencion a Clientes
Detractor;Caro para el servicio que brindan. En la costa cerca de pinamar cero senal. ;SERVICIO;La calidad y funcionamiento del Servicio
Pasivo;que 9 era mucho y 7 me resultaba poco;CONVENIENCIA;Beneficios
Detractor;La conexion es malisima;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;Servicio malo, el valor alto, falta de respuesta y puedo seguir;SERVICIO;La calidad y funcionamiento del Servicio
Pasivo;Mientras cumplan el Acuerdo que habiamos hecho y no me suban la Tarifa sta tutto bene, cobro una Pension por Discapacidad y tengo que arreglarme con esa Plata para todos mis Gastos. Mis Padres ya fallecieron. ;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Exelente sin inconvenientes;RELACIONAMIENTO;Facturacion y Pago 
Detractor;Lento y enganaso los anuncios ;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;X que el servicio es caro y malo;CONVENIENCIA;Precio
Promotor;Cobertura en la senal;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Eficiencia ;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;Aveces es bueno y aveces no;RELACIONAMIENTO;Facturacion y Pago 
Promotor;Por su efectividad;CONVENIENCIA;Precio
Detractor;Muy caro el servicio ;RELACIONAMIENTO;Facturacion y Pago 
Promotor;El mejor servicio lejos;CONVENIENCIA;Planes
Promotor;;RELACIONAMIENTO;Atencion a Clientes
Promotor;;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;No se puede recargar gigas con el credito del abono;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Servicio y atencion del personal;CONVENIENCIA;Promociones
Detractor;Te suben el precio de la factura aunque te hayan hecho una promocion valido por meses ;CONVENIENCIA;Precio
Detractor;Mala senal y cobertura deficiente ;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;.;CONVENIENCIA;Beneficios
Detractor;Estan tardando mucho en darme una solucion;RELACIONAMIENTO;Atencion a Clientes
Pasivo;Aveces se corta la senal;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;Pocos datos;CONVENIENCIA;Packs
Pasivo;;CONVENIENCIA;Precio
Detractor;Pero quien SOS personal para q t haga una encuesta gratis;CONVENIENCIA;Beneficios
Promotor;Buen precio ;RELACIONAMIENTO;Facturacion y Pago 
Detractor;muy caro;CONVENIENCIA;Precio
Pasivo;Es q tengo buen alcance de senal a donde estoy ;CONVENIENCIA;Precio
Pasivo;Relacion precio producto ;CONVENIENCIA;Planes
Pasivo;;RELACIONAMIENTO;Atencion a Clientes
Detractor;Pesimo servisio;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;Muy caro para pocas prestaciones ;CONVENIENCIA;Precio
Promotor;La atencion excelente ;RELACIONAMIENTO;Atencion a Clientes
Pasivo;Esta un poco caro a pesar de los descuentos que tengo respecto de otras conpanias;CONVENIENCIA;Precio
Promotor;Comodidad;RELACIONAMIENTO;Atencion a Clientes
Promotor;Muy buena senal internet rapido ;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;Q la senal anda muy mal ;CONVENIENCIA;Packs
Promotor;Servicio, atencion, descuentos;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Mu bien atendido por la chica de ramos;RELACIONAMIENTO;Atencion a Clientes
Detractor;No puedo pagarla;CONVENIENCIA;Precio
Promotor;Excelente servicio ;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;10;RELACIONAMIENTO;Facturacion y Pago 
Promotor;La atencion del representante ;RELACIONAMIENTO;Atencion a Clientes
Promotor;Buena conexion;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Xq el plan me es muy util ;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Es muy buen servicio y hacen planes de descuento muy accesibles;RELACIONAMIENTO;Atencion a Clientes
Promotor;No he tenido inconvenientes con la Empresa, de ninguna indole.;RELACIONAMIENTO;Atencion a Clientes
Promotor;Excelente seevicio;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Ok;RELACIONAMIENTO;Atencion a Clientes
Detractor;Es exesivo el precio;CONVENIENCIA;Precio
Promotor;Por la buena y su calidad D atencion estoy muy feliz.;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;Soy sordo ;CONVENIENCIA;Packs
Promotor;Buena cobertura de 4g ;SERVICIO;La calidad y funcionamiento del Servicio
Pasivo;Te avisan que esta por vencer la cuenta ;CONVENIENCIA;Promociones
Pasivo;Me gusta porque me dura bastante las gigas pero cuando cortan la luz se me va la senal;CONVENIENCIA;Packs
Pasivo;Por que no me deja entrar sin internet ;CONVENIENCIA;Beneficios
Detractor;las otras empresas me ofrecen mejores planes y ust no;CONVENIENCIA;Promociones
Pasivo;Por mi experiencia , no es malo el abono , todo depende como se usa y las necesidades ;RELACIONAMIENTO;Atencion a Clientes
Detractor;Precio ;CONVENIENCIA;Precio
Detractor;No es clara la tarifa , imposible comunicarse . ;RELACIONAMIENTO;Atencion a Clientes
Detractor;Se abona la factura antes de la renovacion de datos. Abono un dia 10 y recien 21 se renueva;CONVENIENCIA;Beneficios
Promotor;Brindan muy buen servicio ;RELACIONAMIENTO;Atencion a Clientes
Promotor;Su eficiencia y duracion ;RELACIONAMIENTO;Atencion a Clientes
Promotor;;RELACIONAMIENTO;Atencion a Clientes
Pasivo;El costo del abono, hay emorrsas que tienen mejor precio por las mismas prestaciones ;CONVENIENCIA;Precio
Detractor;;CONVENIENCIA;Beneficios
Detractor;Pago abono para poder navegar bien y es pesimo el internet ;CONVENIENCIA;Packs
Detractor;Muy pocos gigas y precios altos;CONVENIENCIA;Precio
Promotor;Siempre hay senal en todos lados ;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;Buena ;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;Los megas se gastan super rapido y pata comprar un pack de internet te limita a 3 opciones y ninguna q sea rentable;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;Poca cobertura;RELACIONAMIENTO;Atencion a Clientes
Detractor;Pague El Abono  Y No Me Dieron Gigas . ;CONVENIENCIA;Packs
Detractor;La mala atencion al cliente que tienen. Y los aumentos constantes de servicio.;RELACIONAMIENTO;Atencion a Clientes
Detractor;Muy mala senal en general;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Por la amplia calificacion de Personal en todo sentido en mi caso desde el 2001... y sigo apostando... servicio y calidad ;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Muy buena ;RELACIONAMIENTO;Facturacion y Pago 
Detractor;Estafadores ;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;;SERVICIO;La calidad y funcionamiento del Servicio
Detractor; MUI buena ;CONVENIENCIA;Promociones
Detractor;Servicio bueno. Pero caro;CONVENIENCIA;Precio
Detractor;;CONVENIENCIA;Precio
Detractor;Costo. Quita de GB;CONVENIENCIA;Precio
Promotor;Me pudieron solucionar mi problema con la linea ;RELACIONAMIENTO;Atencion a Clientes
Detractor;Demasiado elevado el precio por las prestaciones que dan;CONVENIENCIA;Precio
Pasivo;es un termino medio el costo;CONVENIENCIA;Precio
Promotor;Siempre tengo respuestas positivas sea cual sea el reclamo o consulta q realice;RELACIONAMIENTO;Atencion a Clientes
Pasivo;El valor del abono mensual;CONVENIENCIA;Precio
Detractor;tengo personal desde el incio, y ahora tengo internet y cable, y no me quieren hacer un plan unificado, todos separados me sale mucho mas caro que telecentro;RELACIONAMIENTO;Atencion a Clientes
Promotor;Resolucion de la operadora y ajuste de las promos  sin complicaciones  una genia !!!!primera vez en mas de 1 decada con tal eficiencia ;RELACIONAMIENTO;Atencion a Clientes
Promotor;Me encanta el precio de mi abono ;CONVENIENCIA;Precio
Promotor;Buen precio ;RELACIONAMIENTO;Atencion a Clientes
Pasivo;Costo ;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;Poca informacion sobre los productos y luego te cobran lo que quieren, llamas y te hacen los super descuentos pero nunca los apl8can;CONVENIENCIA;Precio
Detractor;Me cobran mucho y nunca me puedo comunicar con nadie;RELACIONAMIENTO;Atencion a Clientes
Pasivo;Costo;CONVENIENCIA;Precio
Pasivo;Me confunden los vencimientos de gigas ;SERVICIO;La calidad y funcionamiento del Servicio
Pasivo;Es bastante elevado el precio para el servicio que ofrecen;CONVENIENCIA;Precio
Promotor;atencion correcta y eficiente;RELACIONAMIENTO;Atencion a Clientes
Detractor;No hay relacion precio - calidad.;CONVENIENCIA;Precio
Pasivo;El servicio es muy bueno pero el costo es alto;CONVENIENCIA;Promociones
Promotor;Exelente atencion, paciencia y brindan toda la informacion sobre promociones y servicios personal un 10 la atencion ;RELACIONAMIENTO;Atencion a Clientes
Promotor;muy buen servicio;RELACIONAMIENTO;Atencion a Clientes
Promotor;;RELACIONAMIENTO;Atencion a Clientes
Promotor;Buen atencion;RELACIONAMIENTO;Atencion a Clientes
Pasivo;Si bien la calidad y la conexion en las llamadas y la nitidez de la comunicacion es siempre muy buena el precio de los abonos mensuales y lo que se ofrece para los clientes es el motivo de la nota. Hay opciones mas economicas en el mercado ;CONVENIENCIA;Precio
Detractor;Es malo el servicio.;SERVICIO;La calidad y funcionamiento del Servicio
Pasivo;El servicio es bueno pero aumenta todos los meses no se si podre seguir pagando dicho monto por el uso que le doy;RELACIONAMIENTO;Atencion a Clientes
Pasivo;No siempre funciona, y es caro;RELACIONAMIENTO;Atencion a Clientes
Promotor;muy buena promocion;RELACIONAMIENTO;Atencion a Clientes
Promotor;Por la comodida;RELACIONAMIENTO;Atencion a Clientes
Promotor;;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Que personal es muy buena empresa y el asesor  rre buena onda desi que hay del 1 al 10 si le pidiera dar un 100 o 1000 se lo daria ;CONVENIENCIA;Beneficios
Detractor;Caro y te sacan datos aunque no este habilitado la opcion en el telefono. ;RELACIONAMIENTO;Atencion a Clientes
Promotor;10;RELACIONAMIENTO;Facturacion y Pago 
Pasivo;Precios altos ;CONVENIENCIA;Precio
Promotor;Me manejo hace anos con Personal, estoy muy conforme con el servicio, por eso lo recomiendo ;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;COSTO DEL SERVICIO;CONVENIENCIA;Precio
Promotor;Tipo de servicio ;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;Costo;CONVENIENCIA;Precio
Promotor;Llamado ;CONVENIENCIA;Promociones
Pasivo;Regular;RELACIONAMIENTO;Atencion a Clientes
Promotor;Estoy conforme con la empresa y el servicio prestado;RELACIONAMIENTO;Atencion a Clientes
Detractor;Me resulta muy caro..y no alcanza, ya que soy jubilada..!!!;CONVENIENCIA;Precio
Pasivo;Esta volviendose caro;CONVENIENCIA;Precio
Promotor;Conformidad;RELACIONAMIENTO;Atencion a Clientes
Pasivo;;CONVENIENCIA;Promociones
Detractor;Muy caro;CONVENIENCIA;Precio
Promotor; .;RELACIONAMIENTO;Atencion a Clientes
Promotor;Jamas he tenido problemas de conectividad o interferencia en los datos para usar billeteras digitales. Amo personal y espero que si cambian que sigan mejorando;RELACIONAMIENTO;Atencion a Clientes
Pasivo;Costo;CONVENIENCIA;Precio
Promotor;Excelente servicio ;CONVENIENCIA;Precio
Promotor;Hace anos tengo personal;CONVENIENCIA;Planes
Promotor;Excelente atencion ;RELACIONAMIENTO;Atencion a Clientes
Promotor;Excelente atencion;RELACIONAMIENTO;Atencion a Clientes
Promotor;Estoy conforme con la atencion cada vez que tenemos un problema.;RELACIONAMIENTO;Atencion a Clientes
Detractor;todos los meses sube el precio del abono;CONVENIENCIA;Precio
Pasivo;relacion costo-beneficio;CONVENIENCIA;Precio
Detractor;precios altos comparando con promo de otras empresas;CONVENIENCIA;Promociones
Promotor;Amabilidad y buena resolucion de problemas.;RELACIONAMIENTO;Atencion a Clientes
Pasivo;Conforme con los servicios y descuentos ;CONVENIENCIA;Promociones
Promotor;Buen servicio ;CONVENIENCIA;Precio
Promotor;Muy buena atencion;RELACIONAMIENTO;Atencion a Clientes
Promotor;;RELACIONAMIENTO;Atencion a Clientes
Detractor;Muy alto precio;CONVENIENCIA;Precio
Promotor; Calidad.;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Muy conforme con el servicio y las promociones.;RELACIONAMIENTO;Atencion a Clientes
Detractor;Pago 28 lucas y no tengo servicio de internet en general rodriguez y en moreno falla .para mandar una foto media hora tarda;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;Tengo muchas Fallas en Flow y no me dan solucion ;SERVICIO;La calidad y funcionamiento del Servicio
Pasivo;tengo todos los servicios de la compania;CONVENIENCIA;Precio
Detractor;Carisimo la competencia me ofrece el triple de beneficios;CONVENIENCIA;Precio
Pasivo;Anda bien pero aveces sube mucho;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;Hace 2 semana q estoy esperando q llegue el chip. Lo mandaron a cualquier direccion. Reclame y anularon el nuevo envio de chip ;RELACIONAMIENTO;Atencion a Clientes
Detractor;COSTO DEL SERVICIO;RELACIONAMIENTO;Facturacion y Pago 
Pasivo;Porque si;RELACIONAMIENTO;Atencion a Clientes
Promotor;Buen servicio ;CONVENIENCIA;Beneficios
Detractor;No me dan respuesta al cambio de ciclo de facturacion ya que debo abonar fuera de termino y me cobran intereses ;RELACIONAMIENTO;Facturacion y Pago 
Detractor;Necesito un plan mas economico y personal no hay forma de conectarme con algun agente comercial o un numero que ATIENDA MIS RECLAMOS EN ESE ASPECTO VUSTRA ATENCION AL CLIENTE ES PESIMA Y SIEMPRE HAY TRABAS CODIGOS CLAVES ETC, ETC --RESULTADO NADIE ATIENDE MIS QUEJAS POR TAL MOTIVO PRONTO DEJARE VUESTRO SERVICIO PUES ES CARO ECONOMICAMENTE Y PESIMA VUESTRA ATENCION AL CLIENTE;RELACIONAMIENTO;Atencion a Clientes
Detractor;Costo del servicio;CONVENIENCIA;Precio
Detractor;El aumento desmedido a traves de los meses en la facturacion ;CONVENIENCIA;Precio
Promotor;Buena senal siempre ;RELACIONAMIENTO;Atencion a Clientes
Pasivo;Tengo senal en todos lados ;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Mas conocida;SERVICIO;La calidad y funcionamiento del Servicio
Pasivo;Es completo pero un poco elevado el monto ;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Promos muy Accesibles. Excelentes.;RELACIONAMIENTO;Atencion a Clientes
Pasivo;Es bueno el servicio pero es caro;CONVENIENCIA;Precio
Detractor;Ya les dije no atienden al cliente;RELACIONAMIENTO;Atencion a Clientes
Promotor;Atencion muy eficaz;RELACIONAMIENTO;Atencion a Clientes
Promotor;Muy buena;RELACIONAMIENTO;Atencion a Clientes
Promotor;Ni alcanza el mes y ya esta por arriba de lo que empece a pagar ;CONVENIENCIA;Precio
Detractor;No he podido solucionar mi inconveniente ;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;La mejor experiencia ;CONVENIENCIA;Packs
Detractor;Anda mal;SERVICIO;La calidad y funcionamiento del Servicio
Pasivo;CELULAR BIEN. CABLE A VECES SE COMPLICA;CONVENIENCIA;Precio
Pasivo;Buen servicio pero muy caro. ;CONVENIENCIA;Precio
Promotor;Precio y planes;RELACIONAMIENTO;Atencion a Clientes
Detractor;Muy caro;CONVENIENCIA;Precio
Pasivo;Despues de pagar mi plan tengo que esperar una semana para poder usarlo otra vez;CONVENIENCIA;Beneficios
Detractor;Tiene un costo muy CARO;CONVENIENCIA;Precio
Promotor;La atencion profesional asesoramiento buena predisposicion y un trato cordial y amable ;RELACIONAMIENTO;Atencion a Clientes
Detractor;El servicio es caro;CONVENIENCIA;Precio
Detractor;Muy caro;CONVENIENCIA;Precio
Detractor;No puedo realizar ni recibir llamadas ;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Es excelente ;RELACIONAMIENTO;Atencion a Clientes
Detractor;Son tantas q es mucho a escribir;SERVICIO;La calidad y funcionamiento del Servicio
Pasivo;Esta bien con algunos defectos,no es totalmente recomendable ;CONVENIENCIA;Precio
Detractor;;CONVENIENCIA;Planes
Detractor;Ninguno;CONVENIENCIA;Precio
Promotor;Muy buen servicio y cobertura ;SERVICIO;La calidad y funcionamiento del Servicio
Pasivo;Es accesible ;CONVENIENCIA;Precio
Detractor;Muy caro;CONVENIENCIA;Packs
Detractor;Bien ;RELACIONAMIENTO;Atencion a Clientes
Detractor;Pesima cobertura en lugares fuera de Buenos Aires y fallas de roaming en el extranjero;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Muy conforme con el servicio ;RELACIONAMIENTO;Atencion a Clientes
Detractor;Contrato un plan  que tiene roaming para toda America y cuando se viaja NUNCA FUNCIONA;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Exelentes promociones ami me dieron una casi por 2 anos;CONVENIENCIA;Precio
Pasivo;El servicio es muy practico y eficiente.;RELACIONAMIENTO;Atencion a Clientes
Detractor;El servicio es bueno ...el precio no tanto... ;CONVENIENCIA;Precio
Pasivo;;CONVENIENCIA;Precio
Promotor;Muy buena atencion ;RELACIONAMIENTO;Atencion a Clientes
Promotor;Pack;CONVENIENCIA;Packs
